n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 2e+03]","[-2.05, 0, -9.49]"
1,0.02,"[-0.0229, 1.45e-21, -0.0184]","[1, 3.31e-20, 0.000258, 2.74e-22]","[1.94e+03, 2e+03, 1.94e+03, 2e+03]","[-2.03, -1.08e-18, -9.73]"
2,0.04,"[-0.0498, 1.35e-19, -0.137]","[1, 3.88e-19, 0.000313, 3.24e-20]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.01, -2.1e-17, -25.6]"
3,0.06,"[-0.0765, 6.97e-19, -0.407]","[1, 7.81e-19, 0.000234, 1.89e-19]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2, -3.15e-17, -33.2]"
4,0.08,"[-0.103, 1.73e-18, -0.744]","[1, 1.3e-18, 1.96e-05, 4.88e-19]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.01, -1.21e-16, -36.4]"
5,0.1,"[-0.129, 3.57e-18, -1.11]","[1, 2.07e-18, -0.000334, 9.2e-19]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.04, -2.24e-16, -37.7]"
6,0.12,"[-0.154, 6.46e-18, -1.48]","[1, 3.13e-18, -0.000831, 1.47e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.09, -2.77e-16, -38.1]"
7,0.14,"[-0.178, 1.07e-17, -1.86]","[1, 4.41e-18, -0.00147, 2.16e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.15, -4.51e-16, -38.3]"
8,0.16,"[-0.201, 1.62e-17, -2.24]","[1, 5.41e-18, -0.00226, 3.02e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.24, -5.48e-16, -38.3]"
9,0.18,"[-0.223, 2.31e-17, -2.62]","[1, 6.93e-18, -0.0032, 3.99e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.35, -7.39e-16, -38.2]"
10,0.2,"[-0.244, 3.18e-17, -3]","[1, 8.38e-18, -0.0043, 5.12e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.49, -8.04e-16, -38.1]"
11,0.22,"[-0.263, 4.2e-17, -3.38]","[1, 9.73e-18, -0.00557, 6.4e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.65, -8.13e-16, -38]"
12,0.24,"[-0.28, 5.39e-17, -3.76]","[1, 1.14e-17, -0.00702, 7.8e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-2.84, -1.28e-15, -37.8]"
13,0.26,"[-0.295, 6.77e-17, -4.13]","[1, 1.31e-17, -0.00867, 9.36e-18]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-3.07, -1.03e-15, -37.6]"
14,0.28,"[-0.308, 8.31e-17, -4.5]","[1, 1.45e-17, -0.0105, 1.11e-17]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-3.33, -1.02e-15, -37.4]"
15,0.3,"[-0.318, 1e-16, -4.87]","[1, 1.57e-17, -0.0126, 1.3e-17]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-3.65, -1.2e-15, -37.2]"
16,0.32,"[-0.326, 1.18e-16, -5.24]","[1, 1.65e-17, -0.015, 1.5e-17]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-4.04, -4.9e-16, -36.9]"
17,0.34,"[-0.33, 1.37e-16, -5.6]","[1, 1.72e-17, -0.0177, 1.72e-17]","[1.92e+03, 2e+03, 1.92e+03, 2e+03]","[-4.5, -1.18e-15, -36.6]"
18,0.36,"[-0.331, 1.57e-16, -5.96]","[1, 1.75e-17, -0.0209, 1.96e-17]","[1.91e+03, 2e+03, 1.91e+03, 2e+03]","[-5.08, -6.49e-16, -36.3]"
19,0.38,"[-0.328, 1.77e-16, -6.32]","[1, 1.75e-17, -0.0245, 2.21e-17]","[1.91e+03, 2e+03, 1.91e+03, 2e+03]","[-5.83, -2.19e-16, -35.9]"
20,0.4,"[-0.32, 1.97e-16, -6.67]","[1, 1.69e-17, -0.0287, 2.47e-17]","[1.91e+03, 2e+03, 1.91e+03, 2e+03]","[-6.82, 4.14e-16, -35.4]"
21,0.42,"[-0.307, 2.16e-16, -7.02]","[0.999, 1.56e-17, -0.0339, 2.75e-17]","[1.9e+03, 2e+03, 1.9e+03, 2e+03]","[-8.21, 1.88e-15, -34.8]"
22,0.44,"[-0.288, 2.34e-16, -7.36]","[0.999, 1.29e-17, -0.0403, 3.05e-17]","[1.88e+03, 2e+03, 1.88e+03, 2e+03]","[-10.3, 3.09e-15, -33.7]"
23,0.46,"[-0.261, 2.49e-16, -7.68]","[0.999, 8.69e-18, -0.0487, 3.37e-17]","[1.83e+03, 2e+03, 1.83e+03, 2e+03]","[-13.8, 6.2e-15, -31.9]"
24,0.48,"[-0.225, 2.58e-16, -7.98]","[0.998, 3.85e-19, -0.0609, 3.7e-17]","[1.66e+03, 2e+03, 1.66e+03, 2e+03]","[-20.7, 1.23e-14, -27.5]"
25,0.5,"[-0.183, 2.58e-16, -8.2]","[0.997, -1.55e-17, -0.0816, 4.03e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-36.8, 2.48e-14, -13.2]"
26,0.52,"[-0.148, 2.49e-16, -8.26]","[0.994, -4.61e-17, -0.109, 4.26e-17]","[1.05e+03, 1e+03, 1.05e+03, 1e+03]","[-28.7, 4.7e-14, 25.7]"
27,0.54,"[-0.148, 2.44e-16, -8.12]","[0.991, -8.97e-17, -0.133, 4.2e-17]","[1.09e+03, 1e+03, 1.09e+03, 1e+03]","[-23.1, 4.49e-14, 37.2]"
