n,t,v,q,pwm,fa
0,0,"[0, 0, 0]","[1, 0, 0, 0]","[2e+03, 2e+03, 2e+03, 2e+03]","[0, 0, -9.49]"
1,0.02,"[1.61e-20, 7.23e-21, -0.0136]","[1, 9.94e-20, -2.22e-19, 2.15e-40]","[2e+03, 2e+03, 2e+03, 2e+03]","[-5.96e-18, -2.69e-18, -11.4]"
2,0.04,"[8.41e-19, 3.78e-19, -0.154]","[1, 1.15e-18, -2.55e-18, 4.9e-38]","[2e+03, 2e+03, 2e+03, 2e+03]","[-1.45e-16, -6.54e-17, -27.2]"
3,0.06,"[6.18e-18, 2.73e-18, -0.445]","[1, 3.9e-18, -9.01e-18, -2.16e-37]","[2e+03, 2e+03, 2e+03, 2e+03]","[-7.8e-16, -3.23e-16, -34.8]"
4,0.08,"[2.23e-17, 9.56e-18, -0.803]","[1, 8.87e-18, -2.08e-17, 2.02e-36]","[2e+03, 2e+03, 2e+03, 2e+03]","[-2.18e-15, -9.76e-16, -38]"
5,0.1,"[5.64e-17, 2.45e-17, -1.19]","[1, 1.73e-17, -3.88e-17, 2.65e-35]","[2e+03, 2e+03, 2e+03, 2e+03]","[-4.55e-15, -2.15e-15, -39.2]"
6,0.12,"[1.16e-16, 5.16e-17, -1.59]","[1, 2.88e-17, -6.26e-17, 7.58e-35]","[2e+03, 2e+03, 2e+03, 2e+03]","[-7.45e-15, -3.61e-15, -39.7]"
7,0.14,"[2.07e-16, 9.4e-17, -1.98]","[1, 4.27e-17, -9.12e-17, 1.51e-34]","[2e+03, 2e+03, 2e+03, 2e+03]","[-1.11e-14, -5.33e-15, -39.8]"
8,0.16,"[3.36e-16, 1.55e-16, -2.39]","[1, 5.97e-17, -1.25e-16, 3.09e-34]","[2e+03, 2e+03, 2e+03, 2e+03]","[-1.55e-14, -7.9e-15, -39.8]"
9,0.18,"[5.08e-16, 2.38e-16, -2.78]","[1, 8.02e-17, -1.64e-16, 6.2e-34]","[2e+03, 2e+03, 2e+03, 2e+03]","[-2.09e-14, -1.09e-14, -39.7]"
10,0.2,"[7.29e-16, 3.47e-16, -3.18]","[1, 1.04e-16, -2.1e-16, 9.84e-34]","[2e+03, 2e+03, 2e+03, 2e+03]","[-2.73e-14, -1.39e-14, -39.6]"
11,0.22,"[1.01e-15, 4.85e-16, -3.58]","[1, 1.3e-16, -2.61e-16, 1.29e-33]","[2e+03, 2e+03, 2e+03, 2e+03]","[-3.46e-14, -1.74e-14, -39.5]"
12,0.24,"[1.35e-15, 6.55e-16, -3.97]","[1, 1.59e-16, -3.19e-16, 1.68e-33]","[2e+03, 2e+03, 2e+03, 2e+03]","[-4.31e-14, -2.18e-14, -39.3]"
